fit_period,winner_state,feature,winner_n,control_n,winner_mean,control_mean,mean_difference,winner_median,control_median,standardized_mean_difference,probability_superiority_minus_half
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,signal_close,45064,42542,91.97305498846086,91.80062056320813,0.17243442525273167,60.2,61.6,0.0019748341143139237,-0.002286446710951018
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,average_volume_20,45064,42542,8590682.427914742,8018772.161535659,571910.2663790835,3559727.025,3503594.35,0.02715148949663792,0.0038348632534844773
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,return_3,45064,42542,-0.007374972360585774,0.002164680224588654,-0.009539652585174429,-0.005291005291005346,0.0,-0.1943843328705145,-0.045951975880929474
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,return_5,45064,42542,-0.011284970453036253,0.004998109446813964,-0.016283079899850218,-0.008115236690287408,0.0,-0.256764398671486,-0.058567687597506524
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,return_10,45064,42542,-0.017290752314999786,0.009836716750625822,-0.02712746906562561,-0.012765957446808529,0.0,-0.2954450814762671,-0.06630197577618874
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,return_20,45064,42542,-0.010801706966753779,0.02663885989734649,-0.03744056686410027,-0.00835488395902162,0.006001200480192037,-0.2726934823869679,-0.056214538495610866
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,return_60,45064,42542,0.07374829824183896,0.08991285876101712,-0.016164560519178167,0.044117647058823595,0.025432020962552593,-0.05684194841316359,0.0021352876258257103
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,distance_to_prior20_close_high,45064,42542,-0.09330761709495586,-0.07097475009535593,-0.022332866999599923,-0.0780048103332584,-0.05714285714285716,-0.3127941155506317,-0.09209001229039915
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,distance_to_prior60_close_high,45064,42542,-0.14895479335075582,-0.11754961000257952,-0.0314051833481763,-0.1357758620689654,-0.10083453270811094,-0.32422204507784597,-0.09436169565427244
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,drawdown_from_20d_high,45064,42542,-0.11472281209315371,-0.0917344373316844,-0.02298837476146931,-0.10144927536231885,-0.07680472673559824,-0.3241173359923572,-0.10053250870769886
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,drawdown_from_60d_high,45064,42542,-0.17209659783033246,-0.13949090019660612,-0.03260569763372634,-0.16049382716049387,-0.12307692307692308,-0.3398351727656813,-0.10181191654603461
