model,fit_period,feature,coefficient_or_weight,direction,intercept,regularization_alpha,training_observations,comparison_to_final_sign_agreement,comparison_to_final_cosine_similarity
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,distance_to_prior60_close_high,0.015664588005617406,POSITIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,drawdown_from_20d_high,0.025772004091339628,POSITIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,drawdown_from_60d_high,0.027380772308717327,POSITIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,days_since_20d_high,0.017525758336850588,POSITIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,days_since_60d_high,0.00719376864262927,POSITIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,ma5_slope,-0.009910964149129871,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,ma10_slope,-0.01552444844357524,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,ma20_slope,-0.025471278524533406,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,ma60_slope,-0.02762871847571822,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,volume_ratio5,-0.003286106644558875,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
