row_type,model,signal_date,period,n_compact_appeared,n_compact_count,stock_code,score,rank,rank_percentile,in_top5,in_top10,in_top20,outcome_evaluable,winner,net_return
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200825,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200826,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200827,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200828,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200831,HISTORICAL_DISCOVERY,True,1,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200901,HISTORICAL_DISCOVERY,True,1,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200902,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200903,HISTORICAL_DISCOVERY,True,1,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200904,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200907,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200908,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200909,HISTORICAL_DISCOVERY,True,1,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200910,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200911,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200914,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200915,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200916,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200917,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200918,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200921,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200922,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200923,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200924,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200925,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200928,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200929,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200930,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201005,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201006,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201007,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201008,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201012,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201013,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201014,HISTORICAL_DISCOVERY,True,1,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201015,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201016,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201019,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201020,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201021,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201022,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201023,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201026,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201027,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201028,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201029,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201030,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201102,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201103,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201104,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201105,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201106,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201109,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201110,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201111,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201112,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20201113,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
