boundary_source,resolution,feature,boundary_number,probability,boundary_value,finite_discovery_observations,entry_gap_denominator,boundary_sha256
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias20_change_3d,7,0.7,0.01696636501358929,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias20_change_3d,8,0.8,0.031023030483913024,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias20_change_3d,9,0.9,0.05633943569986617,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias10_change_3d,1,0.1,-0.060554435535169315,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias10_change_3d,2,0.2,-0.03547613658427036,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias10_change_3d,3,0.3,-0.02098177020730876,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias10_change_3d,4,0.4,-0.010312288517071578,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias10_change_3d,5,0.5,-0.0013749554951283938,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias10_change_3d,6,0.6,0.007295918360676823,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias10_change_3d,7,0.7,0.017445806120681313,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias10_change_3d,8,0.8,0.031308865654805514,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias10_change_3d,9,0.9,0.054972542021918314,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,distance_to_20d_high,1,0.1,-0.17135581176220152,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,distance_to_20d_high,2,0.2,-0.12377850162866455,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,distance_to_20d_high,3,0.3,-0.09459459459459463,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
