feature,outcome,discovery_observations,same_day_spearman,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,raw_p_value,top_quintile_mean,bottom_quintile_mean,top_minus_bottom_effect,bh_fdr_q_value
short_balance_change_volume_ratio_1d,path_success,15100,-0.018641210556270965,-0.03477961755530973,-0.0013182254426514564,0.036,0.3411803713527852,0.3591525984773254,-0.01797222712454022,0.14275862068965517
short_balance_change_volume_ratio_1d,downside_first,15100,0.0257049052374828,0.00817472199637605,0.04295309000928948,0.0,0.5706233421750663,0.5405494869248593,0.030073855250207004,0.0
short_balance_change_volume_ratio_1d,mae10,15100,-0.0027254751941482,-0.02130979619217536,0.01421142599455373,0.736,-0.07825843935421263,-0.07913446539504851,0.0008760260408358783,0.834313725490196
short_balance_change_volume_ratio_1d,mfe10,15100,-0.0244656334381414,-0.0413118782519594,-0.007020537464904548,0.004,0.09654957689537229,0.10261052330323178,-0.006060946407859494,0.025555555555555557
short_balance_change_volume_ratio_1d,net_return,15100,-0.023564991482761383,-0.041372686758676745,-0.005688261270055464,0.004,-0.009401354716972635,-0.0045358956344985,-0.004865459082474135,0.025555555555555557
short_balance_change_volume_ratio_3d,path_success,15100,-0.014392115024727462,-0.031243988911377852,0.0024505839692036285,0.082,0.3502638522427441,0.3609072715143429,-0.010643419271598786,0.2602631578947368
short_balance_change_volume_ratio_3d,downside_first,15100,0.013259941883482104,-0.0030495661318502435,0.03054411808801689,0.11,0.5646437994722955,0.5476984656437625,0.016945333828533027,0.2875
short_balance_change_volume_ratio_3d,mae10,15100,0.02064683168851987,0.004799545316153478,0.0369055564395168,0.01,-0.07759578125021309,-0.08273831858557402,0.005142537335360936,0.05476190476190477
short_balance_change_volume_ratio_3d,mfe10,15100,-0.024215747628776436,-0.04210298723505885,-0.007177316066804586,0.0,0.09882241704154938,0.10361149217140775,-0.004789075129858364,0.0
short_balance_change_volume_ratio_3d,net_return,15100,-0.01407874420145563,-0.03174808588817725,0.003951043202687248,0.116,-0.008417982730656855,-0.005464165287932755,-0.0029538174427241005,0.2875
short_balance_change_volume_ratio_5d,path_success,15100,-0.008768121599737057,-0.024411925912829896,0.008754484459505874,0.348,0.3627677100494234,0.362670209232813,9.750081661036303e-05,0.5686111111111111
short_balance_change_volume_ratio_5d,downside_first,15100,0.006795082601871434,-0.009516024637161348,0.024325821683171028,0.472,0.5525535420098847,0.549983394221189,0.002570147788695687,0.6870886075949366
short_balance_change_volume_ratio_5d,mae10,15100,0.02239462303800963,0.005175962265012351,0.03894610905215727,0.012,-0.07607795807889617,-0.08334979683769865,0.007271838758802482,0.0575
short_balance_change_volume_ratio_5d,mfe10,15100,-0.016092809548844702,-0.032452699764258255,-1.953787382926181e-05,0.05,0.10156356192124048,0.10194189568664805,-0.00037833376540756525,0.1796875
short_balance_change_volume_ratio_5d,net_return,15100,-0.004447205126932126,-0.02051150476810965,0.012356628093472686,0.604,-0.005676896912670295,-0.006010217604697553,0.0003333206920272582,0.7804494382022471
short_margin_ratio,path_success,15100,-0.013696214529803963,-0.030524215891656305,0.0036125601215662886,0.13,0.34398682042833606,0.36299161831076726,-0.0190047978824312,0.29634615384615387
short_margin_ratio,downside_first,15100,0.0034915765255673073,-0.013592350377220026,0.02065075772700994,0.65,0.5677100494233938,0.5683430045132173,-0.0006329550898235281,0.7952127659574468
short_margin_ratio,mae10,15100,-0.008031336205699591,-0.02497344109970635,0.009161579069380796,0.316,-0.08383841360231582,-0.08234346536738262,-0.0014949482349332077,0.5411764705882354
short_margin_ratio,mfe10,15100,-0.003922884490069806,-0.020084496444059765,0.013524166735450342,0.628,0.1034312395804031,0.10461217518473079,-0.001180935604327693,0.7952127659574468
short_margin_ratio,net_return,15100,-0.01282942285274824,-0.028975895069139248,0.0038342356038611586,0.12,-0.009298703408711634,-0.00683630595409744,-0.0024623974546141942,0.2875
margin_data_available,path_success,15100,-0.010323902716062996,-0.030669118694662656,0.008018655412272119,0.32,,0.38904899135446686,,0.5411764705882354
margin_data_available,downside_first,15100,-0.011456912715199554,-0.031423539119212425,0.00781893227227094,0.236,,0.553314121037464,,0.4449180327868852
margin_data_available,mae10,15100,0.0300616316425532,0.01092723831310272,0.04862630358850082,0.002,,-0.08256641990598323,,0.014375
margin_data_available,mfe10,15100,-0.015713127952637133,-0.03644981984685896,0.002417734309528679,0.094,,0.11784836636708296,,0.27025
margin_data_available,net_return,15100,0.007239169133041547,-0.012080985008529518,0.026014960712089343,0.504,,-0.0022714939557549555,,0.6900000000000001
